"id","school_id","studytour_content","create_by","create_date","update_by","update_date","remarks","del_flag"
"5810f5219ed14e718a37936fdd14939b","d2e6c82d498e4240a51375ff86481a43","2015.2新西兰41人；2016.2新西兰10人；2017.2新西兰33人；2018.2新西兰19人				
","f6cfbc34972843baa12fc15389374404","2018-03-29 19:54:43","f6cfbc34972843baa12fc15389374404","2018-03-29 19:54:43",NULL,"0"
"583ca9a2aa9543018165e8bb62cad19a","41458ef0e287484198c8906d49c1e475","2015.7新西兰3人；2017.2新西兰1人；2018.2新西兰8人","f6cfbc34972843baa12fc15389374404","2018-04-13 08:30:05","f6cfbc34972843baa12fc15389374404","2018-04-13 08:30:05",NULL,"0"
"584bec90f5a4423ab504484e9a0fe402","3e7e4fc7a50f459aa0703492d9ef8c16","2014.7新西兰11人；2015.7新西兰13人；2016.7新西兰11人；2017.7 新西兰11人		
","f6cfbc34972843baa12fc15389374404","2018-03-29 16:18:57","f6cfbc34972843baa12fc15389374404","2018-03-29 16:18:57",NULL,"0"
"5bf9b13a292548edb8a39df1bddb3676","c3a7d94ac2c94be485a7309ef6291a9a","2015.2新西兰24人；2016.2新西兰4人；2017.2新西兰18人；2018.2新西兰9人","f6cfbc34972843baa12fc15389374404","2018-03-29 18:18:49","f6cfbc34972843baa12fc15389374404","2018-03-29 18:18:49",NULL,"0"
"5cdb3c34dd52489d901b978876c6cbd7","d9e0ad89907f41c4bf55aa6765c3fe95","2016.2新西兰29人；2017.2新西兰32人；2018.2新西兰33人
","f6cfbc34972843baa12fc15389374404","2018-03-30 06:45:42","f6cfbc34972843baa12fc15389374404","2018-03-30 06:45:42",NULL,"0"
"5d4dd7e3acce461190fa535d300f9e1c","ed64dea5b8f24d03a6c7e341c0b0769c","2017.7新西兰7人","f6cfbc34972843baa12fc15389374404","2018-03-29 20:14:29","f6cfbc34972843baa12fc15389374404","2018-03-29 20:14:29",NULL,"0"
"5ea9cd65d0f64aa6b12e3171b523026f","c372831efc0f46119a2efafaa83f1d25","2015.2新西兰3人				
","f6cfbc34972843baa12fc15389374404","2018-03-29 18:11:43","f6cfbc34972843baa12fc15389374404","2018-03-29 18:11:43",NULL,"0"
"60ef9296534f4ea1bb8b20c98b73e830","a9675ce83895471bb2c58a0980b3cf9c","2014.7新西兰11人；2015.7新西兰6人；2016.7新西兰12人；2017.7新西兰33人
","f6cfbc34972843baa12fc15389374404","2018-03-29 16:01:51","f6cfbc34972843baa12fc15389374404","2018-03-29 16:01:51",NULL,"0"
"6101a883b67046feafe0c226bfe736f7","c1eb1d43b7a94de49d498436640f701c","","f6cfbc34972843baa12fc15389374404","2018-03-28 16:42:48","f6cfbc34972843baa12fc15389374404","2018-03-28 17:43:37",NULL,"1"
"61d3f6d497e1490ea11f87d0d250c88d","7d46a6f8b76f49929d9703d09d470276","2015.2新西兰32人	","f6cfbc34972843baa12fc15389374404","2018-03-29 19:58:49","f6cfbc34972843baa12fc15389374404","2018-03-29 19:58:49",NULL,"0"
"62081dc745ee42d59458841686589f39","5ab5a3e1304b491384837da336c5ce61","2014.7新西兰40人；2015.7新西兰41人；2016.7新西兰45人；2017.7新西兰38人		","f6cfbc34972843baa12fc15389374404","2018-03-29 17:02:35","f6cfbc34972843baa12fc15389374404","2018-03-29 17:02:35",NULL,"0"
"65bd243068174e6f8abe77810ab871d7","0d2a836846434d9094b07fdbb8bc280b","2017年美国32人			
","f6cfbc34972843baa12fc15389374404","2018-03-30 06:53:01","f6cfbc34972843baa12fc15389374404","2018-03-30 06:53:01",NULL,"0"
"660c312f27584f49b97334b1a023b952","85c082f9770d45d6875df2e9650d65ff","2017.2新西兰15人；2018.2新西兰23人
","f6cfbc34972843baa12fc15389374404","2018-06-26 14:14:26","f6cfbc34972843baa12fc15389374404","2018-06-26 14:14:26",NULL,"0"
"6808b7a7225e46089e4f217b38a5979a","b25ef62d5a334583bc1f977e11da3f38","2017年美国32人	","f6cfbc34972843baa12fc15389374404","2018-03-29 17:34:51","f6cfbc34972843baa12fc15389374404","2018-03-29 17:34:51",NULL,"0"
"6d96783639cb44ba8e9c51959805ac88","2685a777e1f748fe89fbe6ff51c8eae7","2016.2新西兰21人；2017.7澳大利亚38人","f6cfbc34972843baa12fc15389374404","2018-03-29 20:00:58","f6cfbc34972843baa12fc15389374404","2018-03-29 20:00:58",NULL,"0"
"6e3a21d82a094084bed71fddf77deb73","9a661aa4e26544658e3a655257e3cdcc","2015.7新西兰28人；2017.7新西兰25人	","f6cfbc34972843baa12fc15389374404","2018-03-29 20:26:22","f6cfbc34972843baa12fc15389374404","2018-03-29 20:26:22",NULL,"0"
"6ec503955b604e74ac4a3711b6021e10","987b59ea1a634a5b9e6d3618f7770f14","2014.7新西兰26人；2015.7新西兰27人；2016.7新西兰21人；2017.7新西兰14人	","f6cfbc34972843baa12fc15389374404","2018-03-29 16:46:47","f6cfbc34972843baa12fc15389374404","2018-03-29 16:46:47",NULL,"0"
